Nazwa;id;Rok;Zasiêg ubóstwa (%);PKB per capita;Wyn brutto;Bezr rej;Obci¹¿ demo;Wsk urb;Lud miejska;Mieszkania na 1000 mieszkañców;Nak³ady inwestycyjne sek pry;Wy¿ wyk;Wsp fem;Wsk zat kob;Inflacja;Infl (¿yw);Infl (miesz);Eme i ren brutto;Eme i rent brutto rel do przec wyn brutto;Wyd pomspol
WIELKOPOLSKIE;15;2020;15,6 ;68144;4985,75;3,7;67,4;53,7;1882282;372,8;70;25,7;106;46,5;3,5;4,9;6,1;2320,35;0,51;69030906,87
WIELKOPOLSKIE;15;2021;16,2 ;76121;5379,43;3,2;68,4;53,5;1874165;379,5;72,4;24,4;106;50,2;5,3;3,2;6,5;2483,11;0,5;22626159,36
WIELKOPOLSKIE;15;2022;14,4 ;85665;6019,68;2,9;69,4;53,3;1861954;386,9;74;25,2;106;50,9;15,2;15,4;21,9;2722,25;0,49;20728548,14
WIELKOPOLSKIE;15;2023;14,9 ;95104;6772,06;3;70,1;53;1849631;393,6;67,3;29,4;106;48,7;11,6;15,6;12,8;3197,97;0,51;25702505,79
WIELKOPOLSKIE;15;2024;13,3 ;102129;7759,22;2,9;70,5;52,9;1840426;399,8;68,6;30,1;106;49,9;4;3,5;4,9;3 663,58;0,51;50969839,64
ZACHODNIOPOMORSKIE;16;2019;12,7 ;50747;4769,71;6,8;66,3;68,4;1160706;394,3;55,1;25,9;106;43,5;2,3;5,5;1,2;2179,21;0,5;1902809,87
ZACHODNIOPOMORSKIE;16;2020;11,9 ;53922;5099,49;8,4;68,7;68,4;1136448;415,4;51,3;25,9;106;44,3;3,6;4,1;6,1;2301,75;0,5;4058743,94
ZACHODNIOPOMORSKIE;16;2021;12,0 ;60693;5549,85;7,3;70;68,2;1126021;422,6;51,1;26,2;106;46,2;4,8;3,4;5,5;2460,64;0,49;21446670,19
ZACHODNIOPOMORSKIE;16;2022;13,5 ;67261;6169,94;6,7;71,1;68,1;1116968;430,7;51,6;28,7;106;46,3;13,1;15,3;15,7;2695,83;0,48;22448324,95
ZACHODNIOPOMORSKIE;16;2023;15,2 ;74398;7007,4;6,7;72,1;68;1110406;438,8;46;31,9;106;45,7;12,7;15,2;16,3;3169,27;0,5;13707181,49
ZACHODNIOPOMORSKIE;16;2024;15,9 ;79783;8027,37;6,8;72,7;67,9;1102399;446;40,8;34;106;43,6;3,8;3,4;5,8;3 623,13;0,5;5134787,52
